# WAVE T_TOTAL T_FILTER T_TELESCOPE T_NI-OA T_QE
1056 -8.7236e-06 -1.11742e-05 0.887231 0.932504 0.943609
1057 1.06036e-05 1.35918e-05 0.886926 0.932109 0.943675
1058 4.77757e-06 6.12853e-06 0.886574 0.931717 0.943739
1059 1.38815e-05 1.78095e-05 0.886748 0.931328 0.943803
1060 1.11331e-05 1.429e-05 0.886649 0.930942 0.943865
1061 2.66497e-06 3.42331e-06 0.886266 0.930558 0.943926
1062 1.92374e-05 2.4735e-05 0.885733 0.930177 0.943986
1063 3.95896e-05 5.09047e-05 0.886016 0.929798 0.944045
1064 4.36207e-05 5.6095e-05 0.88621 0.929421 0.944102
1065 4.22531e-05 5.43488e-05 0.886312 0.929045 0.944159
1066 4.98399e-05 6.41605e-05 0.885883 0.928672 0.944215
1067 4.26406e-05 5.48791e-05 0.886405 0.9283 0.94427
1068 5.54419e-05 7.1338e-05 0.886915 0.927929 0.944323
1069 6.09232e-05 7.839e-05 0.887229 0.927559 0.944376
1070 3.15881e-05 4.06318e-05 0.88781 0.92719 0.944428
1071 1.97839e-05 2.54599e-05 0.887701 0.926821 0.94448
1072 3.64971e-05 4.69646e-05 0.888074 0.926453 0.94453
1073 3.74423e-05 4.81756e-05 0.888475 0.926086 0.944579
1074 1.57712e-05 2.02793e-05 0.88935 0.925718 0.944628
1075 3.94144e-06 5.07043e-06 0.889244 0.925351 0.944676
1076 2.39331e-05 3.07711e-05 0.890056 0.924983 0.944724
1077 1.24412e-05 1.60192e-05 0.889068 0.924615 0.94477
1078 -6.43334e-06 -8.28021e-06 0.889734 0.924246 0.944816
1079 6.28231e-06 8.08334e-06 0.890321 0.923876 0.944862
1080 8.45731e-06 1.08879e-05 0.890143 0.923505 0.944907
1081 6.50083e-06 8.37942e-06 0.889367 0.923133 0.944951
1082 2.01264e-05 2.5927e-05 0.890218 0.92276 0.944995
1083 3.07561e-05 3.96138e-05 0.890682 0.922385 0.945038
1084 1.02397e-05 1.32004e-05 0.890215 0.922008 0.945081
1085 1.25406e-05 1.61908e-05 0.889211 0.921629 0.945124
1086 9.68041e-06 1.25034e-05 0.889162 0.921248 0.945166
1087 9.83578e-06 1.27083e-05 0.889198 0.920865 0.945207
1088 4.85015e-05 6.27067e-05 0.888957 0.920479 0.945249
1089 3.29122e-05 4.2565e-05 0.889015 0.920091 0.94529
1090 1.14204e-05 1.47975e-05 0.887692 0.9197 0.94533
1091 1.97932e-05 2.56507e-05 0.887883 0.919305 0.945371
1092 5.29691e-05 6.86382e-05 0.888309 0.918908 0.945411
1093 4.56222e-05 5.91179e-05 0.888659 0.918509 0.945451
1094 2.57983e-05 3.34367e-05 0.888824 0.918109 0.945491
1095 4.50377e-05 5.84069e-05 0.888651 0.917709 0.945531
1096 5.53384e-05 7.1878e-05 0.887606 0.917311 0.945571
1097 6.02872e-05 7.82561e-05 0.888518 0.916914 0.94561
1098 7.49306e-05 9.74379e-05 0.887275 0.916521 0.94565
1099 8.21033e-05 0.000106739 0.887833 0.916132 0.945689
1100 8.7633e-05 0.000113864 0.888667 0.915747 0.945729
1101 9.33743e-05 0.000121457 0.887993 0.915368 0.9458
1102 9.79928e-05 0.000127481 0.888172 0.914997 0.945871
1103 8.83549e-05 0.000114794 0.889611 0.914633 0.945942
1104 7.6498e-05 9.9487e-05 0.889015 0.914277 0.946012
1105 6.56141e-05 8.5315e-05 0.889464 0.913932 0.946083
1106 5.90613e-05 7.68411e-05 0.889188 0.913597 0.946153
1107 5.96768e-05 7.75689e-05 0.890273 0.913274 0.946224
1108 5.55599e-05 7.21837e-05 0.890929 0.912963 0.946294
1109 4.76336e-05 6.19893e-05 0.889667 0.912666 0.946363
1110 4.73189e-05 6.15812e-05 0.889854 0.912384 0.946433
1111 2.7105e-05 3.52422e-05 0.89087 0.912116 0.946502
1112 2.58793e-05 3.36625e-05 0.890683 0.911866 0.94657
1113 3.38589e-05 4.40153e-05 0.891387 0.911632 0.946638
1114 4.83327e-05 6.28432e-05 0.891355 0.911417 0.946706
1115 3.39877e-05 4.42077e-05 0.891155 0.911222 0.946773
1116 6.04316e-06 7.85492e-06 0.891879 0.911046 0.946839
1117 1.49593e-05 1.94416e-05 0.892086 0.910892 0.946905
1118 2.54641e-05 3.3047e-05 0.89342 0.91076 0.94697
1119 4.15828e-05 5.40009e-05 0.892884 0.910651 0.947034
1120 3.40035e-05 4.42036e-05 0.891989 0.910566 0.947097
1121 1.83532e-05 2.38514e-05 0.892262 0.910506 0.94716
1122 2.51304e-05 3.26197e-05 0.89331 0.910472 0.947221
1123 3.599e-05 4.6756e-05 0.892486 0.910465 0.947282
1124 4.21876e-05 5.472e-05 0.893841 0.910483 0.947342
1125 6.02102e-05 7.80827e-05 0.893899 0.910527 0.947401
1126 6.97388e-05 9.04082e-05 0.89409 0.910595 0.947458
1127 7.49311e-05 9.71096e-05 0.894222 0.910686 0.947515
1128 7.72843e-05 0.000100134 0.894285 0.910799 0.94757
1129 8.76061e-05 0.000113413 0.894847 0.910934 0.947624
1130 0.0001067 0.000137972 0.895682 0.911089 0.947677
1131 0.000127037 0.000164304 0.895268 0.911264 0.947729
1132 0.000121881 0.000157684 0.89476 0.911456 0.947779
1133 0.00013558 0.000175353 0.894782 0.911667 0.947828
1134 0.000140605 0.000181716 0.895181 0.911894 0.947876
1135 0.000131245 0.000169475 0.895661 0.912137 0.947922
1136 0.000138265 0.000178341 0.896367 0.912394 0.947967
1137 0.000169696 0.000219169 0.894885 0.912666 0.94801
1138 0.000158543 0.000204301 0.8966 0.91295 0.948051
1139 0.000160721 0.000207098 0.896313 0.913246 0.948091
1140 0.000159723 0.000205976 0.895261 0.913553 0.948129
1141 0.00015769 0.000203188 0.895651 0.91387 0.948165
1142 0.000187373 0.000241281 0.89587 0.914196 0.9482
1143 0.000225684 0.000290648 0.895404 0.914531 0.948233
1144 0.000229919 0.000295895 0.895671 0.914872 0.948264
1145 0.000239796 0.000308625 0.895246 0.91522 0.948292
1146 0.00027983 0.000359959 0.895352 0.915573 0.948319
1147 0.000339182 0.000436279 0.895034 0.915931 0.948344
1148 0.000401515 0.000516018 0.895419 0.916292 0.948367
1149 0.000489418 0.000628947 0.895104 0.916656 0.948388
1150 0.000612457 0.000786809 0.895019 0.917021 0.948407
1151 0.000755067 0.000969297 0.895353 0.917387 0.948379
1152 0.000973471 0.00124997 0.894809 0.917752 0.948348
1153 0.00128601 0.00165188 0.894161 0.918117 0.948316
1154 0.0017303 0.00222279 0.893753 0.918479 0.948281
1155 0.00240631 0.00308994 0.893802 0.918838 0.948245
1156 0.00341708 0.00438414 0.894253 0.919193 0.948207
1157 0.00490698 0.006298 0.893623 0.919543 0.948167
1158 0.00729419 0.00935378 0.894107 0.919888 0.948125
1159 0.0112671 0.0144563 0.893331 0.920228 0.948081
1160 0.0179204 0.022978 0.893628 0.920562 0.948036
1161 0.0290797 0.0372718 0.893713 0.920891 0.947989
1162 0.047143 0.0604322 0.893319 0.921215 0.947941
1163 0.0773989 0.0992335 0.892907 0.921534 0.947892
1164 0.122657 0.157189 0.89305 0.921847 0.947841
1165 0.182646 0.234051 0.89286 0.922156 0.947788
1166 0.253948 0.325415 0.892631 0.922461 0.947735
1167 0.335103 0.42931 0.8926 0.92276 0.94768
1168 0.425895 0.545098 0.893231 0.923055 0.947625
1169 0.522935 0.669147 0.893206 0.923345 0.947568
1170 0.617499 0.790146 0.89299 0.923631 0.94751
1171 0.693332 0.887456 0.892498 0.923912 0.947451
1172 0.742611 0.950569 0.892251 0.924189 0.947392
1173 0.767674 0.98176 0.892855 0.924462 0.947331
1174 0.778326 0.994358 0.893572 0.924731 0.94727
1175 0.781037 0.998465 0.8928 0.924995 0.947208
1176 0.782323 0.999873 0.892817 0.925256 0.947146
1177 0.783976 1.00002 0.894384 0.925512 0.947083
1178 0.784051 0.999347 0.894889 0.925764 0.947019
1179 0.782435 0.998061 0.894014 0.926013 0.946956
1180 0.781711 0.996576 0.894343 0.926258 0.946891
1181 0.780048 0.99496 0.893717 0.926499 0.946827
1182 0.779578 0.993698 0.894145 0.926737 0.946762
1183 0.779639 0.993053 0.894631 0.926971 0.946697
1184 0.779844 0.992702 0.895021 0.927202 0.946632
1185 0.779745 0.992691 0.89476 0.927429 0.946567
1186 0.779452 0.993057 0.893938 0.927654 0.946502
1187 0.780485 0.993388 0.894674 0.927874 0.946437
1188 0.781351 0.993673 0.895261 0.928092 0.946372
1189 0.780884 0.993858 0.894413 0.928307 0.946308
1190 0.781443 0.993964 0.894815 0.928519 0.946243
1191 0.782368 0.993665 0.896003 0.928727 0.946179
1192 0.782362 0.993555 0.895957 0.928933 0.946116
1193 0.78243 0.993565 0.895889 0.929137 0.946053
1194 0.78227 0.993805 0.895356 0.929337 0.94599
1195 0.782671 0.994411 0.895137 0.929535 0.945928
1196 0.784063 0.995048 0.896025 0.92973 0.945867
1197 0.784968 0.9959 0.896163 0.929923 0.945806
1198 0.786022 0.996892 0.896346 0.930114 0.945746
1199 0.786486 0.997845 0.895894 0.930302 0.945687
1200 0.78704 0.998527 0.895788 0.930488 0.945629
1201 0.787654 0.998937 0.895955 0.930672 0.945616
1202 0.788255 0.999124 0.896307 0.930854 0.945603
1203 0.788736 0.999188 0.896634 0.931034 0.945592
1204 0.78884 0.999174 0.896604 0.931212 0.945581
1205 0.788729 0.999042 0.896436 0.931388 0.945571
1206 0.788559 0.998414 0.896647 0.931562 0.945562
1207 0.788931 0.998573 0.896769 0.931735 0.945554
1208 0.789042 0.998955 0.896395 0.931906 0.945546
1209 0.788905 0.999107 0.895947 0.932075 0.945539
1210 0.789562 0.999419 0.896258 0.932243 0.945533
1211 0.79013 0.999847 0.896363 0.93241 0.945527
1212 0.790717 0.999457 0.897226 0.932575 0.945521
1213 0.790258 0.998859 0.897089 0.932739 0.945516
1214 0.789156 0.99875 0.895783 0.932902 0.945512
1215 0.788575 0.998187 0.895478 0.933063 0.945508
1216 0.788235 0.996981 0.896024 0.933224 0.945504
1217 0.787321 0.995543 0.896128 0.933384 0.9455
1218 0.78646 0.99403 0.89636 0.933543 0.945497
1219 0.784852 0.99245 0.895803 0.933701 0.945494
1220 0.78337 0.990921 0.895343 0.933858 0.945491
1221 0.78286 0.989806 0.895621 0.934015 0.945488
1222 0.782612 0.989157 0.895778 0.934171 0.945485
1223 0.782343 0.988959 0.895502 0.934327 0.945482
1224 0.782342 0.98962 0.894756 0.934483 0.945479
1225 0.783013 0.990464 0.894615 0.934638 0.945476
1226 0.783957 0.991295 0.894798 0.934792 0.945474
1227 0.786674 0.993911 0.895391 0.934947 0.94547
1228 0.788431 0.996173 0.895208 0.935101 0.945467
1229 0.789238 0.997762 0.894552 0.935256 0.945464
1230 0.790952 0.999995 0.894349 0.93541 0.94546
1231 0.792074 1.0014 0.894217 0.935565 0.945456
1232 0.792456 1.00169 0.894245 0.93572 0.945452
1233 0.792047 1.00111 0.894158 0.935875 0.945447
1234 0.792184 1.00109 0.894188 0.93603 0.945441
1235 0.790875 1.00006 0.893485 0.936186 0.945436
1236 0.789635 0.998477 0.893355 0.936343 0.94543
1237 0.788285 0.996421 0.893525 0.9365 0.945423
1238 0.786847 0.994277 0.893675 0.936657 0.945415
1239 0.785284 0.992937 0.89296 0.936816 0.945407
1240 0.784368 0.991582 0.892993 0.936975 0.945399
1241 0.783928 0.990516 0.893309 0.937135 0.945389
1242 0.784597 0.990626 0.893829 0.937296 0.945379
1243 0.784983 0.991005 0.893782 0.937458 0.945368
1244 0.785269 0.992004 0.893063 0.937621 0.945356
1245 0.786658 0.993276 0.893353 0.937785 0.945343
1246 0.788062 0.994216 0.893957 0.937951 0.945329
1247 0.789711 0.996205 0.893893 0.938118 0.945315
1248 0.791167 0.997836 0.893932 0.938286 0.945299
1249 0.792596 0.999449 0.893956 0.938456 0.945282
1250 0.794362 1.00067 0.894708 0.938627 0.945264
1251 0.795403 1.00152 0.895018 0.9388 0.945198
1252 0.796627 1.00242 0.895486 0.938975 0.945132
1253 0.796646 1.00235 0.895467 0.939151 0.945064
1254 0.796006 1.00174 0.895187 0.93933 0.944995
1255 0.796093 1.00113 0.895724 0.93951 0.944926
1256 0.796199 1.00033 0.896453 0.939692 0.944855
1257 0.795536 0.999307 0.896515 0.939877 0.944784
1258 0.795874 0.998386 0.897614 0.940063 0.944712
1259 0.795308 0.997694 0.897486 0.940251 0.94464
1260 0.795831 0.997025 0.898567 0.940441 0.944567
1261 0.796089 0.996753 0.898991 0.940632 0.944493
1262 0.796088 0.996739 0.898888 0.940825 0.94442
1263 0.796749 0.996837 0.899431 0.94102 0.944345
1264 0.796526 0.99711 0.898817 0.941215 0.944271
1265 0.796341 0.997374 0.898255 0.941411 0.944196
1266 0.79739 0.99786 0.898881 0.941609 0.944122
1267 0.798764 0.998159 0.900043 0.941807 0.944047
1268 0.798834 0.998153 0.900009 0.942005 0.943972
1269 0.798728 0.997959 0.899945 0.942205 0.943898
1270 0.797975 0.997869 0.899059 0.942404 0.943823
1271 0.798214 0.997321 0.899702 0.942604 0.943749
1272 0.798106 0.996651 0.900065 0.942804 0.943675
1273 0.797009 0.995957 0.899333 0.943004 0.943601
1274 0.79602 0.995018 0.898944 0.943204 0.943528
1275 0.795908 0.99449 0.899173 0.943404 0.943456
1276 0.795329 0.994217 0.898644 0.943603 0.943384
1277 0.795352 0.994472 0.898319 0.943802 0.943312
1278 0.795137 0.994373 0.898045 0.944 0.943241
1279 0.794837 0.994372 0.897586 0.944197 0.943171
1280 0.794838 0.994938 0.896955 0.944394 0.943102
1281 0.795365 0.995694 0.896748 0.944589 0.943034
1282 0.796118 0.996435 0.896809 0.944783 0.942967
1283 0.796725 0.997604 0.896321 0.944976 0.942901
1284 0.796436 0.998427 0.895138 0.945167 0.942836
1285 0.796899 0.998849 0.89516 0.945357 0.942772
1286 0.797375 0.999175 0.895284 0.945545 0.94271
1287 0.795985 0.998339 0.894353 0.945731 0.942649
1288 0.796677 0.998849 0.894556 0.945916 0.942589
1289 0.795867 0.998741 0.893626 0.946098 0.942531
1290 0.794953 0.997766 0.893356 0.946278 0.942474
1291 0.793742 0.996806 0.892739 0.946455 0.942419
1292 0.793272 0.995708 0.893081 0.94663 0.942365
1293 0.792744 0.995077 0.892937 0.946803 0.942314
1294 0.7902 0.993913 0.891001 0.946973 0.942264
1295 0.789377 0.992496 0.891233 0.947139 0.942216
1296 0.788811 0.991452 0.891421 0.947303 0.94217
1297 0.788925 0.991498 0.891399 0.947464 0.942126
1298 0.789112 0.991222 0.891751 0.947621 0.942084
1299 0.788541 0.991045 0.891157 0.947775 0.942044
1300 0.789417 0.991517 0.891616 0.947926 0.942007
1301 0.790784 0.992263 0.892331 0.948072 0.942028
1302 0.791764 0.993161 0.892473 0.948215 0.942051
1303 0.792377 0.994049 0.892211 0.948354 0.942076
1304 0.79255 0.994965 0.891432 0.948489 0.942103
1305 0.793526 0.995931 0.891513 0.94862 0.942132
1306 0.7948 0.996785 0.89203 0.948747 0.942164
1307 0.79556 0.997172 0.89239 0.948869 0.942197
1308 0.796436 0.997429 0.892999 0.948986 0.942232
1309 0.796266 0.997652 0.892468 0.949099 0.942269
1310 0.795849 0.997329 0.892153 0.949206 0.942307
1311 0.796579 0.996694 0.893404 0.949309 0.942348
1312 0.79657 0.99592 0.893958 0.949407 0.942389
1313 0.79644 0.995012 0.894498 0.9495 0.942433
1314 0.795702 0.994114 0.894352 0.949587 0.942478
1315 0.794319 0.993192 0.893506 0.949668 0.942524
1316 0.794798 0.992146 0.894871 0.949744 0.942571
1317 0.794116 0.991506 0.894568 0.949814 0.94262
1318 0.793661 0.991046 0.894362 0.949879 0.94267
1319 0.793843 0.990801 0.894685 0.949937 0.942721
1320 0.79418 0.990576 0.895169 0.949989 0.942774
1321 0.795166 0.990746 0.896033 0.950035 0.942827
1322 0.795497 0.991146 0.895956 0.950074 0.942881
1323 0.795628 0.991804 0.895426 0.950107 0.942936
1324 0.795695 0.99238 0.894904 0.950133 0.942992
1325 0.79722 0.993117 0.89588 0.950153 0.943049
1326 0.799468 0.994094 0.897456 0.950167 0.943106
1327 0.798992 0.99478 0.896241 0.950174 0.943164
1328 0.799313 0.99566 0.895752 0.950175 0.943223
1329 0.800641 0.996632 0.896314 0.95017 0.943282
1330 0.80043 0.997319 0.895415 0.950159 0.943341
1331 0.802717 0.99819 0.897149 0.950142 0.943401
1332 0.802848 0.998769 0.896739 0.950119 0.943461
1333 0.802136 0.999266 0.895467 0.950091 0.943522
1334 0.803382 0.999793 0.89636 0.950057 0.943582
1335 0.803415 1.00014 0.896065 0.950018 0.943643
1336 0.804835 1.00053 0.897285 0.949973 0.943703
1337 0.803885 1.00091 0.895874 0.949923 0.943764
1338 0.804598 1.00085 0.896717 0.949868 0.943825
1339 0.803927 1.00128 0.895584 0.949808 0.943885
1340 0.804319 1.0016 0.895739 0.949743 0.943945
1341 0.804519 1.00159 0.895979 0.949673 0.944005
1342 0.80494 1.00195 0.89614 0.949598 0.944065
1343 0.804172 1.00147 0.895732 0.949519 0.944124
1344 0.804358 1.00115 0.896249 0.949435 0.944183
1345 0.803403 1.00133 0.895052 0.949347 0.944241
1346 0.803859 1.00063 0.89622 0.949254 0.944298
1347 0.803221 1.00013 0.895994 0.949157 0.944355
1348 0.802466 0.999818 0.895474 0.949056 0.944411
1349 0.803064 0.99881 0.897091 0.948951 0.944467
1350 0.799604 0.997098 0.894812 0.948842 0.944521
1351 0.800775 0.996262 0.896968 0.948729 0.944535
1352 0.800438 0.997221 0.895826 0.948612 0.944548
1353 0.801068 0.997391 0.89648 0.948492 0.94456
1354 0.800687 0.996894 0.896606 0.948368 0.944572
1355 0.79958 0.996916 0.895458 0.948241 0.944582
1356 0.79936 0.995977 0.896169 0.948111 0.944592
1357 0.799198 0.995634 0.896414 0.947977 0.944601
1358 0.800801 0.997614 0.896551 0.94784 0.944609
1359 0.801965 0.999307 0.896458 0.9477 0.944617
1360 0.800554 0.998243 0.895963 0.947557 0.944624
1361 0.803049 0.99938 0.897865 0.947411 0.94463
1362 0.802404 0.999657 0.89703 0.947263 0.944636
1363 0.801392 0.999536 0.896145 0.947112 0.944641
1364 0.800958 0.999521 0.895814 0.946958 0.944646
1365 0.801206 0.999758 0.896023 0.946802 0.94465
1366 0.801425 0.999514 0.896633 0.946644 0.944654
1367 0.800928 0.999682 0.896076 0.946483 0.944657
1368 0.800844 0.999776 0.896049 0.94632 0.94466
1369 0.802345 1.00185 0.896023 0.946156 0.944662
1370 0.801978 1.00196 0.895671 0.945989 0.944664
1371 0.802489 1.00158 0.896739 0.945821 0.944666
1372 0.802014 1.0011 0.896798 0.945651 0.944667
1373 0.80103 1.00078 0.896147 0.945479 0.944668
1374 0.800826 1.00044 0.896387 0.945305 0.944669
1375 0.799516 0.999858 0.895605 0.945131 0.94467
1376 0.800686 1.00013 0.896839 0.944955 0.94467
1377 0.800105 1.00024 0.896258 0.944777 0.944671
1378 0.798763 0.999625 0.895474 0.944599 0.944671
1379 0.797611 0.998747 0.895138 0.94442 0.944671
1380 0.797883 0.998882 0.895494 0.944239 0.944671
1381 0.797171 0.998887 0.894862 0.944058 0.944671
1382 0.796257 0.998474 0.894377 0.943877 0.944671
1383 0.796293 0.998665 0.89442 0.943694 0.944671
1384 0.796908 0.998598 0.895344 0.943511 0.944671
1385 0.79642 0.99855 0.895011 0.943328 0.944672
1386 0.796476 0.99929 0.894585 0.943145 0.944672
1387 0.796873 0.999953 0.894611 0.942961 0.944673
1388 0.796771 1.00032 0.894343 0.942777 0.944673
1389 0.798005 1.00126 0.895061 0.942593 0.944674
1390 0.796555 1.00024 0.894519 0.942409 0.944675
1391 0.794926 0.99945 0.893567 0.942226 0.944677
1392 0.794529 1.00005 0.892758 0.942042 0.944679
1393 0.794073 0.999365 0.893028 0.941859 0.944681
1394 0.794651 0.999306 0.893902 0.941677 0.944683
1395 0.795454 1.00012 0.894247 0.941495 0.944686
1396 0.793331 0.998351 0.893609 0.941314 0.944689
1397 0.790378 0.996386 0.892206 0.941134 0.944693
1398 0.788238 0.99414 0.891966 0.940955 0.944697
1399 0.785842 0.989856 0.893269 0.940776 0.944702
1400 0.78632 0.990573 0.893329 0.940599 0.944707
1401 0.788277 0.993338 0.893212 0.940423 0.944722
1402 0.786458 0.992592 0.891971 0.940249 0.944738
1403 0.786182 0.992081 0.892266 0.940075 0.944755
1404 0.787047 0.992313 0.893185 0.939904 0.944772
1405 0.785906 0.992134 0.892197 0.939733 0.94479
1406 0.785579 0.992067 0.892028 0.939565 0.944808
1407 0.786309 0.992844 0.892299 0.939398 0.944827
1408 0.786931 0.99376 0.892321 0.939232 0.944846
1409 0.788244 0.994805 0.893008 0.939068 0.944866
1410 0.787904 0.99497 0.892609 0.938906 0.944887
1411 0.788225 0.996423 0.891803 0.938745 0.944909
1412 0.78891 0.997506 0.891739 0.938586 0.944931
1413 0.789148 0.998412 0.891327 0.938428 0.944954
1414 0.791221 0.999376 0.892933 0.938272 0.944977
1415 0.791245 1.00031 0.892251 0.938117 0.945001
1416 0.791276 1.00007 0.892622 0.937964 0.945026
1417 0.790175 0.999662 0.891863 0.937813 0.945052
1418 0.790909 0.999511 0.892945 0.937662 0.945078
1419 0.791209 0.999462 0.893444 0.937514 0.945105
1420 0.790176 0.999385 0.89246 0.937367 0.945132
1421 0.789562 0.998675 0.892512 0.937221 0.945161
1422 0.789113 0.99793 0.892781 0.937077 0.94519
1423 0.788549 0.99707 0.893019 0.936935 0.94522
1424 0.788407 0.99689 0.893125 0.936794 0.94525
1425 0.787497 0.995793 0.893181 0.936655 0.945281
1426 0.786392 0.99481 0.89291 0.936517 0.945313
1427 0.785607 0.99447 0.892423 0.93638 0.945346
1428 0.786266 0.99456 0.893187 0.936245 0.94538
1429 0.785676 0.994089 0.893035 0.936112 0.945414
1430 0.785379 0.993969 0.892898 0.93598 0.945449
1431 0.785402 0.994682 0.892374 0.93585 0.945485
1432 0.785268 0.994966 0.892055 0.935721 0.945522
1433 0.785639 0.995122 0.892423 0.935593 0.94556
1434 0.786103 0.995518 0.892679 0.935467 0.945598
1435 0.786845 0.996242 0.892954 0.935343 0.945637
1436 0.787313 0.997273 0.892641 0.93522 0.945677
1437 0.787584 0.997996 0.892379 0.935098 0.945718
1438 0.788313 0.998733 0.892621 0.934978 0.94576
1439 0.789287 0.999109 0.89346 0.93486 0.945802
1440 0.788842 0.998971 0.893151 0.934742 0.945846
1441 0.78803 0.998947 0.892321 0.934627 0.94589
1442 0.788528 0.999021 0.892886 0.934513 0.945935
1443 0.789083 0.999827 0.892858 0.9344 0.945981
1444 0.788657 0.999328 0.892884 0.934289 0.946028
1445 0.786762 0.997632 0.892312 0.934179 0.946076
1446 0.787027 0.99786 0.892467 0.93407 0.946125
1447 0.786253 0.997385 0.892069 0.933963 0.946175
1448 0.785422 0.996632 0.891852 0.933858 0.946225
1449 0.785195 0.996027 0.892187 0.933754 0.946277
1450 0.784706 0.995421 0.892223 0.933651 0.946329
1451 0.784343 0.994913 0.892295 0.93355 0.9464
1452 0.783224 0.994482 0.891436 0.93345 0.946472
1453 0.783592 0.994064 0.892256 0.933352 0.946544
1454 0.783153 0.994011 0.891826 0.933255 0.946618
1455 0.782229 0.993678 0.891094 0.93316 0.946692
1456 0.782916 0.994221 0.891409 0.933066 0.946767
1457 0.783979 0.995116 0.891833 0.932973 0.946843
1458 0.784777 0.994926 0.892927 0.932882 0.946919
1459 0.784747 0.99546 0.892427 0.932792 0.946996
1460 0.78547 0.995995 0.89278 0.932704 0.947074
1461 0.785825 0.996499 0.892741 0.932617 0.947153
1462 0.78592 0.997178 0.89225 0.932531 0.947231
1463 0.786341 0.997347 0.892582 0.932447 0.947311
1464 0.78591 0.997143 0.892279 0.932364 0.947391
1465 0.786371 0.997414 0.892562 0.932283 0.947471
1466 0.787023 0.997836 0.892924 0.932203 0.947552
1467 0.786718 0.998015 0.892418 0.932124 0.947633
1468 0.786442 0.997937 0.892171 0.932047 0.947715
1469 0.78681 0.997917 0.892603 0.931971 0.947796
1470 0.786047 0.997713 0.891912 0.931897 0.947879
1471 0.785411 0.997127 0.891707 0.931824 0.947961
1472 0.784529 0.996479 0.891276 0.931752 0.948044
